exchange,market_type,symbol,timestamp_ms,sum_open_interest,sum_open_interest_value
binance,usdm_futures,RIVERUSDT,1778994900000,2884496.60000000,21529882.62240000
binance,usdm_futures,RIVERUSDT,1778995800000,2877957.90000000,21344079.48686946
binance,usdm_futures,RIVERUSDT,1778996700000,2894118.60000000,21612847.05995232
binance,usdm_futures,RIVERUSDT,1778997600000,2908912.60000000,22064980.32989219
binance,usdm_futures,RIVERUSDT,1778998500000,2926313.10000000,22316063.70060000
binance,usdm_futures,RIVERUSDT,1778999400000,2933652.30000000,22445373.74730000
binance,usdm_futures,RIVERUSDT,1779000300000,2920421.70000000,22069584.58680644
binance,usdm_futures,RIVERUSDT,1779001200000,2923344.70000000,21980628.79930000
binance,usdm_futures,RIVERUSDT,1779002100000,2921507.90000000,22094086.78915565
binance,usdm_futures,RIVERUSDT,1779003000000,2928323.20000000,22114696.80640000
binance,usdm_futures,RIVERUSDT,1779003900000,2925797.50000000,21923488.83681288
binance,usdm_futures,RIVERUSDT,1779004800000,2917212.80000000,21736152.57280000
binance,usdm_futures,RIVERUSDT,1779005700000,2928295.70000000,21727954.09400000
binance,usdm_futures,RIVERUSDT,1779006600000,2929116.30000000,21706742.73264027
binance,usdm_futures,RIVERUSDT,1779007500000,2931082.80000000,21660701.89200000
binance,usdm_futures,RIVERUSDT,1779008400000,2937329.80000000,21874295.02060000
binance,usdm_futures,RIVERUSDT,1779009300000,2933042.60000000,21574165.01943165
binance,usdm_futures,RIVERUSDT,1779010200000,2933932.70000000,21608414.33550000
binance,usdm_futures,RIVERUSDT,1779011100000,2935806.00000000,21716032.97355456
binance,usdm_futures,RIVERUSDT,1779012000000,2939430.10000000,21849923.49156117
binance,usdm_futures,RIVERUSDT,1779012900000,2959711.30000000,22363578.58280000
binance,usdm_futures,RIVERUSDT,1779013800000,2973906.20000000,22446871.03521541
binance,usdm_futures,RIVERUSDT,1779014700000,2977729.10000000,22633852.49980472
binance,usdm_futures,RIVERUSDT,1779015600000,2974116.00000000,22427808.75600000
binance,usdm_futures,RIVERUSDT,1779016500000,2981642.80000000,22675393.49400000
binance,usdm_futures,RIVERUSDT,1779017400000,2985355.30000000,22608153.51323216
binance,usdm_futures,RIVERUSDT,1779018300000,3001799.90000000,22564529.84830000
binance,usdm_futures,RIVERUSDT,1779019200000,2988661.30000000,22235640.07200000
binance,usdm_futures,RIVERUSDT,1779020100000,2998451.80000000,22439196.58941311
binance,usdm_futures,RIVERUSDT,1779021000000,2997663.80000000,22434515.87920000
binance,usdm_futures,RIVERUSDT,1779021900000,2991978.20000000,22583206.62002390
binance,usdm_futures,RIVERUSDT,1779022800000,2989842.50000000,22554675.45578333
binance,usdm_futures,RIVERUSDT,1779023700000,2982984.30000000,22605055.02540000
binance,usdm_futures,RIVERUSDT,1779024600000,2966756.20000000,22336707.42980000
