exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,BTCUSDT,15m,1778838300000,1778839199999,80383.40,80464.10,80323.00,80449.80,1215.700,97722939.63780,31570
binance,usdm_futures,BTCUSDT,15m,1778839200000,1778840099999,80449.90,80564.00,80364.60,80551.20,1236.352,99491108.20760,28053
binance,usdm_futures,BTCUSDT,15m,1778840100000,1778840999999,80551.10,80551.20,80450.00,80467.20,587.719,47305869.67440,14799
binance,usdm_futures,BTCUSDT,15m,1778841000000,1778841899999,80467.30,80532.70,80400.00,80488.00,742.272,59725051.13160,19709
binance,usdm_futures,BTCUSDT,15m,1778841900000,1778842799999,80488.00,80730.00,80476.10,80670.10,1729.283,139460407.72840,45856
binance,usdm_futures,BTCUSDT,15m,1778842800000,1778843699999,80670.20,80716.90,80546.40,80632.10,682.651,55038519.75120,20237
binance,usdm_futures,BTCUSDT,15m,1778843700000,1778844599999,80632.10,80675.80,80546.00,80586.40,481.404,38801506.12020,15519
binance,usdm_futures,BTCUSDT,15m,1778844600000,1778845499999,80586.40,80612.30,80545.00,80604.80,394.103,31756668.67900,12884
binance,usdm_futures,BTCUSDT,15m,1778845500000,1778846399999,80604.80,80666.00,80546.20,80582.10,514.662,41489702.98080,14381
binance,usdm_futures,BTCUSDT,15m,1778846400000,1778847299999,80582.00,80596.70,80347.50,80371.00,2143.686,172488057.10460,40463
binance,usdm_futures,BTCUSDT,15m,1778847300000,1778848199999,80371.10,80550.10,80317.10,80496.90,1559.699,125478758.73280,28432
binance,usdm_futures,BTCUSDT,15m,1778848200000,1778849099999,80496.90,80531.40,80352.00,80360.00,1748.809,140715614.85190,27485
binance,usdm_futures,BTCUSDT,15m,1778849100000,1778849999999,80360.00,80405.90,80280.00,80349.90,1449.758,116467409.63980,26956
binance,usdm_futures,BTCUSDT,15m,1778850000000,1778850899999,80349.80,80349.80,80034.10,80103.60,4952.161,396767210.39150,77750
binance,usdm_futures,BTCUSDT,15m,1778850900000,1778851799999,80103.50,80172.30,79968.00,79975.30,2627.176,210345110.84610,46840
binance,usdm_futures,BTCUSDT,15m,1778851800000,1778852699999,79975.30,79983.30,79055.00,79116.70,14864.993,1181414349.00200,256859
binance,usdm_futures,BTCUSDT,15m,1778852700000,1778853599999,79116.60,79256.00,78638.80,78727.80,14972.714,1181217965.57380,252043
binance,usdm_futures,BTCUSDT,15m,1778853600000,1778854499999,78727.80,79325.30,78610.00,79226.20,9201.829,726481037.90690,184946
binance,usdm_futures,BTCUSDT,15m,1778854500000,1778855399999,79226.10,79285.80,78969.90,79047.90,4564.529,361331645.14560,101671
binance,usdm_futures,BTCUSDT,15m,1778855400000,1778856299999,79047.90,79257.90,78962.90,79191.30,2971.118,235045411.90510,75938
binance,usdm_futures,BTCUSDT,15m,1778856300000,1778857199999,79191.30,79282.10,78920.20,79120.60,2191.065,173261843.52150,70213
binance,usdm_futures,BTCUSDT,15m,1778857200000,1778858099999,79120.60,79298.40,79045.80,79200.00,1763.573,139592405.45320,54867
binance,usdm_futures,BTCUSDT,15m,1778858100000,1778858999999,79199.90,79337.90,79070.00,79106.60,1858.907,147273708.13550,47072
binance,usdm_futures,BTCUSDT,15m,1778859000000,1778859899999,79106.50,79191.10,79035.00,79057.20,1386.489,109693506.75430,39300
binance,usdm_futures,BTCUSDT,15m,1778859900000,1778860799999,79057.10,79210.00,78980.30,79118.00,1185.011,93750272.29020,35263
binance,usdm_futures,BTCUSDT,15m,1778860800000,1778861699999,79118.10,79216.80,79098.70,79159.10,1229.295,97299991.01110,35992
binance,usdm_futures,BTCUSDT,15m,1778861700000,1778862599999,79159.00,79284.20,79101.20,79281.00,923.060,73122535.38900,31222
binance,usdm_futures,BTCUSDT,15m,1778862600000,1778863499999,79280.90,79363.70,79221.60,79241.70,924.397,73296338.94690,30161
binance,usdm_futures,BTCUSDT,15m,1778863500000,1778864399999,79241.70,79307.70,79100.60,79264.70,887.719,70323878.01360,30164
binance,usdm_futures,BTCUSDT,15m,1778864400000,1778865299999,79264.70,79321.00,79194.00,79225.70,762.841,60454863.13440,26709
binance,usdm_futures,BTCUSDT,15m,1778865300000,1778866199999,79225.70,79421.30,79188.80,79338.70,1255.150,99578214.30540,31799
binance,usdm_futures,BTCUSDT,15m,1778866200000,1778867099999,79338.70,79463.00,79338.70,79368.70,1184.910,94082329.03270,31747
binance,usdm_futures,BTCUSDT,15m,1778867100000,1778867999999,79368.70,79475.80,79340.00,79432.10,582.745,46268697.18790,19882
binance,usdm_futures,BTCUSDT,15m,1778868000000,1778868899999,79432.20,79532.10,79394.50,79446.40,1156.659,91913976.32180,33024
binance,usdm_futures,BTCUSDT,15m,1778868900000,1778869799999,79446.40,79457.20,79163.40,79251.10,1287.474,102059956.19340,35022
binance,usdm_futures,BTCUSDT,15m,1778869800000,1778870699999,79251.20,79288.00,79135.40,79258.70,732.742,58040120.89550,25406
binance,usdm_futures,BTCUSDT,15m,1778870700000,1778871599999,79258.80,79309.00,79167.40,79241.20,483.616,38325097.08130,19067
binance,usdm_futures,BTCUSDT,15m,1778871600000,1778872499999,79241.10,79257.90,79012.50,79044.60,1439.181,113832859.93470,36256
binance,usdm_futures,BTCUSDT,15m,1778872500000,1778873399999,79044.70,79133.00,79044.60,79091.00,868.952,68728271.20710,21224
binance,usdm_futures,BTCUSDT,15m,1778873400000,1778874299999,79091.00,79159.60,79050.00,79087.80,449.967,35595928.59810,16134
binance,usdm_futures,BTCUSDT,15m,1778874300000,1778875199999,79087.70,79156.70,79064.60,79104.20,539.079,42649662.01230,21788
binance,usdm_futures,BTCUSDT,15m,1778875200000,1778876099999,79104.30,79185.00,79042.60,79110.10,655.671,51877185.21980,23312
binance,usdm_futures,BTCUSDT,15m,1778876100000,1778876999999,79110.10,79140.40,79035.00,79140.00,375.624,29707132.50140,12297
binance,usdm_futures,BTCUSDT,15m,1778877000000,1778877899999,79140.10,79164.30,79037.00,79051.10,438.617,34698138.07590,13086
binance,usdm_futures,BTCUSDT,15m,1778877900000,1778878799999,79051.10,79096.20,78955.00,79081.10,827.474,65395462.37170,21342
binance,usdm_futures,BTCUSDT,15m,1778878800000,1778879699999,79081.00,79155.90,79066.10,79148.80,384.013,30379846.62200,10280
binance,usdm_futures,BTCUSDT,15m,1778879700000,1778880599999,79148.80,79168.00,79077.00,79086.00,367.051,29038256.18970,8192
binance,usdm_futures,BTCUSDT,15m,1778880600000,1778881499999,79086.00,79109.10,79036.00,79096.50,289.715,22908546.75260,10647
binance,usdm_futures,BTCUSDT,15m,1778881500000,1778882399999,79096.60,79115.10,78861.60,78931.30,1214.209,95876390.71430,33069
binance,usdm_futures,BTCUSDT,15m,1778882400000,1778883299999,78931.40,79057.50,78931.30,79028.00,483.060,38161325.21400,15420
binance,usdm_futures,BTCUSDT,15m,1778883300000,1778884199999,79028.00,79055.90,78952.80,79048.00,333.288,26335785.05650,10267
binance,usdm_futures,BTCUSDT,15m,1778884200000,1778885099999,79048.00,79113.70,79015.30,79086.80,286.523,22653927.55960,10247
binance,usdm_futures,BTCUSDT,15m,1778885100000,1778885999999,79086.70,79113.70,79051.00,79070.10,259.213,20497413.07160,7732
binance,usdm_futures,BTCUSDT,15m,1778886000000,1778886899999,79070.00,79113.70,79055.00,79068.20,305.648,24170758.14150,8520
binance,usdm_futures,BTCUSDT,15m,1778886900000,1778887799999,79068.20,79135.30,79040.00,79075.60,497.317,39332152.63080,10995
binance,usdm_futures,BTCUSDT,15m,1778887800000,1778888699999,79075.80,79100.70,79035.10,79099.10,182.417,14424022.86220,7702
binance,usdm_futures,BTCUSDT,15m,1778888700000,1778889599999,79099.00,79099.10,79059.80,79074.00,239.346,18927610.09590,7193
binance,usdm_futures,BTCUSDT,15m,1778889600000,1778890499999,79074.00,79164.90,79040.00,79145.50,590.020,46674277.35810,13837
binance,usdm_futures,BTCUSDT,15m,1778890500000,1778891399999,79145.60,79176.00,79118.60,79142.90,374.750,29659209.81060,10287
binance,usdm_futures,BTCUSDT,15m,1778891400000,1778892299999,79142.90,79199.70,79118.70,79120.40,500.486,39615874.10590,12719
binance,usdm_futures,BTCUSDT,15m,1778892300000,1778893199999,79120.50,79141.70,79031.70,79075.60,401.094,31718925.78550,11049
binance,usdm_futures,BTCUSDT,15m,1778893200000,1778894099999,79075.60,79107.10,79044.00,79103.20,310.269,24535629.39140,8307
binance,usdm_futures,BTCUSDT,15m,1778894100000,1778894999999,79103.30,79135.00,78983.80,78995.50,645.153,51006697.50210,13831
binance,usdm_futures,BTCUSDT,15m,1778895000000,1778895899999,78995.40,79033.30,78970.40,78988.30,514.514,40647107.94020,11889
binance,usdm_futures,BTCUSDT,15m,1778895900000,1778896799999,78988.50,79155.90,78988.40,79128.50,478.672,37851375.62420,14259
binance,usdm_futures,BTCUSDT,15m,1778896800000,1778897699999,79128.40,79178.00,79070.80,79159.40,462.991,36639191.20270,14719
binance,usdm_futures,BTCUSDT,15m,1778897700000,1778898599999,79159.40,79178.00,79101.10,79109.90,358.788,28395803.21740,9389
binance,usdm_futures,BTCUSDT,15m,1778898600000,1778899499999,79110.00,79113.90,79040.70,79052.80,428.138,33853806.08940,12627
binance,usdm_futures,BTCUSDT,15m,1778899500000,1778900399999,79052.80,79121.00,79040.80,79113.90,211.786,16746007.59070,6951
binance,usdm_futures,BTCUSDT,15m,1778900400000,1778901299999,79113.90,79153.70,79095.20,79128.30,365.829,28946039.80390,9953
binance,usdm_futures,BTCUSDT,15m,1778901300000,1778902199999,79128.20,79149.00,79115.50,79146.70,244.077,19315278.49620,6604
binance,usdm_futures,BTCUSDT,15m,1778902200000,1778903099999,79146.60,79146.70,79032.70,79032.70,295.496,23371485.60010,9153
binance,usdm_futures,BTCUSDT,15m,1778903100000,1778903999999,79032.70,79093.90,79017.60,79041.70,437.654,34595013.55420,10441
