exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,ETHUSDT,15m,1778838300000,1778839199999,2251.90,2254.31,2249.31,2253.49,21940.243,49410540.26240,38088
binance,usdm_futures,ETHUSDT,15m,1778839200000,1778840099999,2253.48,2258.00,2250.95,2257.49,20074.958,45257212.61471,29508
binance,usdm_futures,ETHUSDT,15m,1778840100000,1778840999999,2257.49,2257.60,2251.95,2253.13,19082.380,43020718.46788,22437
binance,usdm_futures,ETHUSDT,15m,1778841000000,1778841899999,2253.13,2255.44,2251.60,2255.44,22670.318,51076761.56726,24416
binance,usdm_futures,ETHUSDT,15m,1778841900000,1778842799999,2255.44,2263.60,2254.62,2261.31,44191.864,99891120.45815,55982
binance,usdm_futures,ETHUSDT,15m,1778842800000,1778843699999,2261.31,2262.90,2256.20,2259.39,24117.656,54481477.13416,31571
binance,usdm_futures,ETHUSDT,15m,1778843700000,1778844599999,2259.40,2261.14,2256.64,2258.82,10660.674,24080973.55062,19105
binance,usdm_futures,ETHUSDT,15m,1778844600000,1778845499999,2258.82,2259.74,2256.32,2257.28,8145.681,18392147.85488,17056
binance,usdm_futures,ETHUSDT,15m,1778845500000,1778846399999,2257.28,2260.79,2256.19,2256.32,15008.922,33894963.95765,21360
binance,usdm_futures,ETHUSDT,15m,1778846400000,1778847299999,2256.33,2257.00,2250.59,2250.60,40764.026,91877859.70198,39833
binance,usdm_futures,ETHUSDT,15m,1778847300000,1778848199999,2250.60,2259.67,2249.91,2257.75,31339.656,70666359.85585,37649
binance,usdm_futures,ETHUSDT,15m,1778848200000,1778849099999,2257.75,2257.76,2252.14,2252.41,16323.449,36804634.51183,28557
binance,usdm_futures,ETHUSDT,15m,1778849100000,1778849999999,2252.42,2254.30,2250.59,2253.06,17551.730,39532223.28001,26232
binance,usdm_futures,ETHUSDT,15m,1778850000000,1778850899999,2253.07,2253.07,2243.69,2246.22,81212.136,182457296.94287,75909
binance,usdm_futures,ETHUSDT,15m,1778850900000,1778851799999,2246.23,2249.69,2243.82,2246.33,28491.606,64015851.02042,38269
binance,usdm_futures,ETHUSDT,15m,1778851800000,1778852699999,2246.33,2246.74,2222.61,2223.44,328834.471,734411504.40369,269183
binance,usdm_futures,ETHUSDT,15m,1778852700000,1778853599999,2223.44,2230.65,2208.96,2212.67,320531.790,711109208.76786,272374
