exchange,market_type,symbol,timestamp_ms,sum_open_interest,sum_open_interest_value
binance,usdm_futures,ETHUSDT,1778989500000,2322030.37100000,5060377567.21659000
binance,usdm_futures,ETHUSDT,1778990400000,2319680.35600000,5058629403.33180300
binance,usdm_futures,ETHUSDT,1778991300000,2318363.17800000,5058668454.39600000
binance,usdm_futures,ETHUSDT,1778992200000,2312088.05300000,5051889274.92447000
binance,usdm_futures,ETHUSDT,1778993100000,2311559.00100000,5056300252.43761350
binance,usdm_futures,ETHUSDT,1778994000000,2310437.80100000,5051474247.04426000
binance,usdm_futures,ETHUSDT,1778994900000,2301930.97200000,5042149690.29164400
binance,usdm_futures,ETHUSDT,1778995800000,2303185.76600000,5038460661.93105000
binance,usdm_futures,ETHUSDT,1778996700000,2302583.16200000,5036002659.44182000
binance,usdm_futures,ETHUSDT,1778997600000,2300842.28500000,5027110308.49650000
binance,usdm_futures,ETHUSDT,1778998500000,2300871.92200000,5029634860.28625800
binance,usdm_futures,ETHUSDT,1778999400000,2300496.98800000,5021961919.83412000
binance,usdm_futures,ETHUSDT,1779000300000,2300801.82600000,5018946095.21814000
binance,usdm_futures,ETHUSDT,1779001200000,2300559.75900000,5024514536.04636000
binance,usdm_futures,ETHUSDT,1779002100000,2300841.31500000,5022967440.49649000
binance,usdm_futures,ETHUSDT,1779003000000,2300373.67400000,5023690538.73199100
binance,usdm_futures,ETHUSDT,1779003900000,2300179.16700000,5025247284.67894200
binance,usdm_futures,ETHUSDT,1779004800000,2299569.31600000,5025977176.80076700
binance,usdm_futures,ETHUSDT,1779005700000,2300882.41400000,5026139580.43816000
binance,usdm_futures,ETHUSDT,1779006600000,2300571.43100000,5023274713.87419000
binance,usdm_futures,ETHUSDT,1779007500000,2300500.28200000,5026593116.17000000
binance,usdm_futures,ETHUSDT,1779008400000,2300862.60700000,5027752934.31212000
binance,usdm_futures,ETHUSDT,1779009300000,2300640.40600000,5032958854.77156100
binance,usdm_futures,ETHUSDT,1779010200000,2300584.44800000,5033655766.37952000
binance,usdm_futures,ETHUSDT,1779011100000,2300545.75400000,5030994493.04998000
binance,usdm_futures,ETHUSDT,1779012000000,2300182.71500000,5035283977.75220000
binance,usdm_futures,ETHUSDT,1779012900000,2300259.21500000,5045480572.54960000
binance,usdm_futures,ETHUSDT,1779013800000,2300693.36400000,5049141259.18248900
binance,usdm_futures,ETHUSDT,1779014700000,2299784.67800000,5044922658.89470000
binance,usdm_futures,ETHUSDT,1779015600000,2296239.69300000,5036250669.06918000
binance,usdm_futures,ETHUSDT,1779016500000,2296838.04100000,5028857985.62827000
binance,usdm_futures,ETHUSDT,1779017400000,2296070.70500000,5023320527.69195000
