exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close
binance,usdm_futures,ETHUSDT,15m,1778838300000,1778839199999,2252.07000000,2254.16000000,2250.19000000,2253.49000000
binance,usdm_futures,ETHUSDT,15m,1778839200000,1778840099999,2253.49000000,2258.03155814,2251.47000000,2257.49000000
binance,usdm_futures,ETHUSDT,15m,1778840100000,1778840999999,2257.49000000,2257.60000000,2252.00160360,2253.17926126
binance,usdm_futures,ETHUSDT,15m,1778841000000,1778841899999,2253.18385586,2255.10000000,2251.79779845,2254.89000000
binance,usdm_futures,ETHUSDT,15m,1778841900000,1778842799999,2255.00000000,2263.45000000,2255.00000000,2261.32000000
binance,usdm_futures,ETHUSDT,15m,1778842800000,1778843699999,2261.31000000,2262.90000000,2256.45000000,2259.40000000
binance,usdm_futures,ETHUSDT,15m,1778843700000,1778844599999,2259.40000000,2261.28220930,2256.68246847,2258.81875969
binance,usdm_futures,ETHUSDT,15m,1778844600000,1778845499999,2258.81875969,2259.74000000,2256.33026126,2257.27000000
binance,usdm_futures,ETHUSDT,15m,1778845500000,1778846399999,2257.28000000,2260.73000000,2256.20000000,2256.36365116
binance,usdm_futures,ETHUSDT,15m,1778846400000,1778847299999,2256.33585271,2257.00000000,2251.14000000,2251.14853488
binance,usdm_futures,ETHUSDT,15m,1778847300000,1778848199999,2251.05202326,2259.67000000,2249.94462016,2257.76134234
binance,usdm_futures,ETHUSDT,15m,1778848200000,1778849099999,2257.76053153,2257.82364865,2252.39079070,2253.08950639
binance,usdm_futures,ETHUSDT,15m,1778849100000,1778849999999,2252.91485523,2254.29000000,2251.28000000,2253.24068992
binance,usdm_futures,ETHUSDT,15m,1778850000000,1778850899999,2253.23999225,2253.24068992,2244.18496792,2246.45000000
binance,usdm_futures,ETHUSDT,15m,1778850900000,1778851799999,2246.32039695,2249.68000000,2244.16427132,2246.31000000
binance,usdm_futures,ETHUSDT,15m,1778851800000,1778852699999,2246.31000000,2246.33000000,2223.08327132,2223.35734964
binance,usdm_futures,ETHUSDT,15m,1778852700000,1778853599999,2223.45000000,2230.47160465,2209.70958527,2212.37024806
binance,usdm_futures,ETHUSDT,15m,1778853600000,1778854499999,2212.53000000,2222.97000000,2204.24000000,2220.38000000
binance,usdm_futures,ETHUSDT,15m,1778854500000,1778855399999,2220.38000000,2223.11000000,2210.62000000,2212.67000000
binance,usdm_futures,ETHUSDT,15m,1778855400000,1778856299999,2212.32000000,2217.82000000,2209.39386822,2213.01000000
binance,usdm_futures,ETHUSDT,15m,1778856300000,1778857199999,2212.78000000,2216.41483962,2206.45026357,2212.56675969
binance,usdm_futures,ETHUSDT,15m,1778857200000,1778858099999,2212.54713953,2216.37000000,2209.00217829,2214.91000000
binance,usdm_futures,ETHUSDT,15m,1778858100000,1778858999999,2214.92000000,2220.81957364,2211.86299099,2214.46000000
binance,usdm_futures,ETHUSDT,15m,1778859000000,1778859899999,2214.61000000,2220.19000000,2214.61000000,2217.39000000
binance,usdm_futures,ETHUSDT,15m,1778859900000,1778860799999,2217.53000000,2223.18000000,2215.23684496,2222.07462602
binance,usdm_futures,ETHUSDT,15m,1778860800000,1778861699999,2222.07602137,2223.82000000,2220.20063566,2223.15000000
binance,usdm_futures,ETHUSDT,15m,1778861700000,1778862599999,2223.04865116,2228.81243411,2222.05545946,2227.36001550
binance,usdm_futures,ETHUSDT,15m,1778862600000,1778863499999,2227.36071318,2230.14339535,2223.44034082,2223.89000000
binance,usdm_futures,ETHUSDT,15m,1778863500000,1778864399999,2223.89000000,2224.66000000,2217.99102326,2223.71960465
binance,usdm_futures,ETHUSDT,15m,1778864400000,1778865299999,2223.72355814,2232.01620930,2223.24795349,2226.19000000
binance,usdm_futures,ETHUSDT,15m,1778865300000,1778866199999,2226.19000000,2229.12000000,2223.76623256,2226.37355814
binance,usdm_futures,ETHUSDT,15m,1778866200000,1778867099999,2226.40342636,2229.13951938,2225.23837209,2226.88968779
binance,usdm_futures,ETHUSDT,15m,1778867100000,1778867999999,2226.88428239,2229.00000000,2225.77000000,2228.42555856
binance,usdm_futures,ETHUSDT,15m,1778868000000,1778868899999,2228.42555856,2231.79000000,2228.38826126,2231.07970815
binance,usdm_futures,ETHUSDT,15m,1778868900000,1778869799999,2231.04646491,2231.50000000,2224.25221705,2228.17000000
binance,usdm_futures,ETHUSDT,15m,1778869800000,1778870699999,2228.16000000,2228.99000000,2223.91313953,2227.37387597
binance,usdm_futures,ETHUSDT,15m,1778870700000,1778871599999,2227.36519380,2228.16000000,2224.43221705,2227.34736568
binance,usdm_futures,ETHUSDT,15m,1778871600000,1778872499999,2227.32527265,2227.39000000,2221.58853649,2222.66015504
binance,usdm_futures,ETHUSDT,15m,1778872500000,1778873399999,2222.66015504,2224.78664865,2222.04475676,2224.18000000
binance,usdm_futures,ETHUSDT,15m,1778873400000,1778874299999,2224.17000000,2227.36000000,2222.13246512,2222.62430233
binance,usdm_futures,ETHUSDT,15m,1778874300000,1778875199999,2222.62500000,2224.52000000,2221.26185271,2222.48000000
binance,usdm_futures,ETHUSDT,15m,1778875200000,1778876099999,2222.51697273,2224.95191473,2219.14000000,2222.28000000
binance,usdm_futures,ETHUSDT,15m,1778876100000,1778876999999,2222.28000000,2224.34710853,2218.49435135,2224.34710853
binance,usdm_futures,ETHUSDT,15m,1778877000000,1778877899999,2224.34710853,2224.81000000,2218.78118217,2219.53458915
binance,usdm_futures,ETHUSDT,15m,1778877900000,1778878799999,2219.51679845,2219.72257364,2216.07944186,2219.04000000
binance,usdm_futures,ETHUSDT,15m,1778878800000,1778879699999,2219.00666667,2224.14000000,2218.92651163,2223.54693798
binance,usdm_futures,ETHUSDT,15m,1778879700000,1778880599999,2223.54693798,2223.78000000,2219.42000000,2220.01000000
binance,usdm_futures,ETHUSDT,15m,1778880600000,1778881499999,2220.01000000,2220.91000000,2218.23265838,2219.87000000
binance,usdm_futures,ETHUSDT,15m,1778881500000,1778882399999,2219.88606977,2220.26522481,2214.30321957,2216.08000000
binance,usdm_futures,ETHUSDT,15m,1778882400000,1778883299999,2216.09000000,2221.53000000,2216.09000000,2220.00000000
binance,usdm_futures,ETHUSDT,15m,1778883300000,1778884199999,2220.00000000,2221.69000000,2218.61000000,2219.96000000
binance,usdm_futures,ETHUSDT,15m,1778884200000,1778885099999,2220.00000000,2222.65401550,2219.84000000,2222.15746323
binance,usdm_futures,ETHUSDT,15m,1778885100000,1778885999999,2222.14286864,2223.41000000,2221.81493275,2223.00000000
binance,usdm_futures,ETHUSDT,15m,1778886000000,1778886899999,2223.00000000,2223.30975969,2221.80604651,2222.01159459
binance,usdm_futures,ETHUSDT,15m,1778886900000,1778887799999,2221.91759459,2224.79905426,2221.74000000,2224.01000000
binance,usdm_futures,ETHUSDT,15m,1778887800000,1778888699999,2224.01000000,2225.31000000,2222.11852713,2225.07961240
binance,usdm_futures,ETHUSDT,15m,1778888700000,1778889599999,2225.07961240,2225.07961240,2223.25000000,2223.66000000
binance,usdm_futures,ETHUSDT,15m,1778889600000,1778890499999,2223.66000000,2227.49000000,2222.76000000,2227.37772093
binance,usdm_futures,ETHUSDT,15m,1778890500000,1778891399999,2227.36058140,2230.79000000,2225.62000000,2229.56973136
binance,usdm_futures,ETHUSDT,15m,1778891400000,1778892299999,2229.56973136,2230.14984496,2227.07477519,2227.07477519
binance,usdm_futures,ETHUSDT,15m,1778892300000,1778893199999,2227.07477519,2228.29149864,2225.17000000,2226.13000000
