exchange,symbol,market_type,timestamp_ms,received_at_ms,source,metadata,open_interest,open_interest_value,mark_price
binance,DOGEUSDT,usdm_futures,1779129000000,1779129000000,history_downloader,{},2215142521.0,228773717.1698212,
binance,DOGEUSDT,usdm_futures,1779129300000,1779129300000,history_downloader,{},2214920666.0,228956349.24442,
binance,DOGEUSDT,usdm_futures,1779129600000,1779129600000,history_downloader,{},2216285952.0,228543407.37024,
binance,DOGEUSDT,usdm_futures,1779129900000,1779129900000,history_downloader,{},2218051323.0,229079519.9604505,
binance,DOGEUSDT,usdm_futures,1779130200000,1779130200000,history_downloader,{},2219167758.0,228862770.88254,
binance,DOGEUSDT,usdm_futures,1779130500000,1779130500000,history_downloader,{},2219526235.0,228698851.29602015,
binance,DOGEUSDT,usdm_futures,1779130800000,1779130800000,history_downloader,{},2283519176.0,234266232.26584,
binance,DOGEUSDT,usdm_futures,1779131100000,1779131100000,history_downloader,{},2272896532.0,236267594.5014,
binance,DOGEUSDT,usdm_futures,1779131400000,1779131400000,history_downloader,{},2269610152.0,235857886.99584,
binance,DOGEUSDT,usdm_futures,1779131700000,1779131700000,history_downloader,{},2268781823.0,235295362.86333,
binance,DOGEUSDT,usdm_futures,1779132000000,1779132000000,history_downloader,{},2272110512.0,235913234.46096,
binance,DOGEUSDT,usdm_futures,1779132300000,1779132300000,history_downloader,{},2271464524.0,235684955.68965173,
binance,DOGEUSDT,usdm_futures,1779132600000,1779132600000,history_downloader,{},2271055825.0,235712884.07675,
binance,DOGEUSDT,usdm_futures,1779132900000,1779132900000,history_downloader,{},2271186637.0,236089850.91615,
binance,DOGEUSDT,usdm_futures,1779133200000,1779133200000,history_downloader,{},2269677716.0,236273450.2356,
binance,DOGEUSDT,usdm_futures,1779133500000,1779133500000,history_downloader,{},2266964448.0,236765915.49405983,
binance,DOGEUSDT,usdm_futures,1779133800000,1779133800000,history_downloader,{},2266952063.0,236925847.61271584,
binance,DOGEUSDT,usdm_futures,1779134100000,1779134100000,history_downloader,{},2262894035.0,236783959.27929845,
binance,DOGEUSDT,usdm_futures,1779134400000,1779134400000,history_downloader,{},2261723114.0,236825027.26694,
binance,DOGEUSDT,usdm_futures,1779134700000,1779134700000,history_downloader,{},2260026133.0,236850738.7384,
binance,DOGEUSDT,usdm_futures,1779135000000,1779135000000,history_downloader,{},2259781159.0,237005847.95592,
binance,DOGEUSDT,usdm_futures,1779135300000,1779135300000,history_downloader,{},2259135419.0,237448438.84451792,
binance,DOGEUSDT,usdm_futures,1779135600000,1779135600000,history_downloader,{},2260385878.0,237046667.02586,
binance,DOGEUSDT,usdm_futures,1779135900000,1779135900000,history_downloader,{},2259218450.0,236766093.56,
binance,DOGEUSDT,usdm_futures,1779136200000,1779136200000,history_downloader,{},2260418630.0,237168005.1638408,
binance,DOGEUSDT,usdm_futures,1779136500000,1779136500000,history_downloader,{},2259835010.0,236595053.4531572,
binance,DOGEUSDT,usdm_futures,1779136800000,1779136800000,history_downloader,{},2258874215.0,236218021.3024281,
binance,DOGEUSDT,usdm_futures,1779137100000,1779137100000,history_downloader,{},2260314711.0,235750824.3573,
binance,DOGEUSDT,usdm_futures,1779137400000,1779137400000,history_downloader,{},2260243755.0,235133157.83265,
binance,DOGEUSDT,usdm_futures,1779137700000,1779137700000,history_downloader,{},2259145048.0,235316592.0693159,
binance,DOGEUSDT,usdm_futures,1779138000000,1779138000000,history_downloader,{},2258948553.0,235201723.33836,
binance,DOGEUSDT,usdm_futures,1779138300000,1779138300000,history_downloader,{},2255666824.0,234674456.00526953,
binance,DOGEUSDT,usdm_futures,1779138600000,1779138600000,history_downloader,{},2255908012.0,234638684.259129,
binance,DOGEUSDT,usdm_futures,1779138900000,1779138900000,history_downloader,{},2255014034.0,234904811.92178,
binance,DOGEUSDT,usdm_futures,1779139200000,1779139200000,history_downloader,{},2252939021.0,234913951.71967,
binance,DOGEUSDT,usdm_futures,1779139500000,1779139500000,history_downloader,{},2250440987.0,234653481.71449,
binance,DOGEUSDT,usdm_futures,1779139800000,1779139800000,history_downloader,{},2249501152.0,234990876.0670096,
binance,DOGEUSDT,usdm_futures,1779140100000,1779140100000,history_downloader,{},2247255895.0,235276163.78375864,
binance,DOGEUSDT,usdm_futures,1779140400000,1779140400000,history_downloader,{},2245867483.0,235393705.41747218,
binance,DOGEUSDT,usdm_futures,1779140700000,1779140700000,history_downloader,{},2245709373.0,235619827.41516,
binance,DOGEUSDT,usdm_futures,1779141000000,1779141000000,history_downloader,{},2247515712.0,235621186.48763135,
binance,DOGEUSDT,usdm_futures,1779141300000,1779141300000,history_downloader,{},2247109329.0,235816371.9148509,
binance,DOGEUSDT,usdm_futures,1779141600000,1779141600000,history_downloader,{},2245885692.0,235856222.63447785,
binance,DOGEUSDT,usdm_futures,1779141900000,1779141900000,history_downloader,{},2247804124.0,235783930.58192852,
binance,DOGEUSDT,usdm_futures,1779142200000,1779142200000,history_downloader,{},2245908932.0,236247160.55708,
binance,DOGEUSDT,usdm_futures,1779142500000,1779142500000,history_downloader,{},2244362221.0,236384331.26333782,
binance,DOGEUSDT,usdm_futures,1779142800000,1779142800000,history_downloader,{},2245160404.0,236662358.18564,
binance,DOGEUSDT,usdm_futures,1779143100000,1779143100000,history_downloader,{},2247960099.0,237030959.8512263,
binance,DOGEUSDT,usdm_futures,1779143400000,1779143400000,history_downloader,{},2248332898.0,236749454.1594,
binance,DOGEUSDT,usdm_futures,1779143700000,1779143700000,history_downloader,{},2247970399.0,236216729.52692,
binance,DOGEUSDT,usdm_futures,1779144000000,1779144000000,history_downloader,{},2246709781.0,236308934.76558,
binance,DOGEUSDT,usdm_futures,1779144300000,1779144300000,history_downloader,{},2248051519.0,236159026.01877025,
binance,DOGEUSDT,usdm_futures,1779144600000,1779144600000,history_downloader,{},2246161312.0,235195550.97952,
binance,DOGEUSDT,usdm_futures,1779144900000,1779144900000,history_downloader,{},2246898720.0,235272764.9712,
binance,DOGEUSDT,usdm_futures,1779145200000,1779145200000,history_downloader,{},2249320135.0,236064956.02857846,
binance,DOGEUSDT,usdm_futures,1779145500000,1779145500000,history_downloader,{},2249649530.0,236318394.2620228,
binance,DOGEUSDT,usdm_futures,1779145800000,1779145800000,history_downloader,{},2250928637.0,236370016.17137,
binance,DOGEUSDT,usdm_futures,1779146100000,1779146100000,history_downloader,{},2252644786.0,236437596.73856,
binance,DOGEUSDT,usdm_futures,1779146400000,1779146400000,history_downloader,{},2252571076.0,235979345.92176,
binance,DOGEUSDT,usdm_futures,1779146700000,1779146700000,history_downloader,{},2252633188.0,236100354.11982605,
binance,DOGEUSDT,usdm_futures,1779147000000,1779147000000,history_downloader,{},2252126922.0,235881738.11012903,
binance,DOGEUSDT,usdm_futures,1779147300000,1779147300000,history_downloader,{},2250936944.0,235753478.99507025,
binance,DOGEUSDT,usdm_futures,1779147600000,1779147600000,history_downloader,{},2250749067.0,236081069.63763,
binance,DOGEUSDT,usdm_futures,1779147900000,1779147900000,history_downloader,{},2250037554.0,236124611.01139608,
binance,DOGEUSDT,usdm_futures,1779148200000,1779148200000,history_downloader,{},2249217073.0,235403058.86018,
binance,DOGEUSDT,usdm_futures,1779148500000,1779148500000,history_downloader,{},2248512501.0,235275016.77776086,
binance,DOGEUSDT,usdm_futures,1779148800000,1779148800000,history_downloader,{},2248679994.0,235459282.17174,
binance,DOGEUSDT,usdm_futures,1779149100000,1779149100000,history_downloader,{},2248898639.0,235393434.94939506,
binance,DOGEUSDT,usdm_futures,1779149400000,1779149400000,history_downloader,{},2248397899.0,235519679.92025,
binance,DOGEUSDT,usdm_futures,1779149700000,1779149700000,history_downloader,{},2249023611.0,235810125.61335,
binance,DOGEUSDT,usdm_futures,1779150000000,1779150000000,history_downloader,{},2248753764.0,236321533.05876,
binance,DOGEUSDT,usdm_futures,1779150300000,1779150300000,history_downloader,{},2250131937.0,236421362.62059,
binance,DOGEUSDT,usdm_futures,1779150600000,1779150600000,history_downloader,{},2250216018.0,236497703.4918,
binance,DOGEUSDT,usdm_futures,1779150900000,1779150900000,history_downloader,{},2250731511.0,236236779.39456,
binance,DOGEUSDT,usdm_futures,1779151200000,1779151200000,history_downloader,{},2251058379.0,236293598.04363,
binance,DOGEUSDT,usdm_futures,1779151500000,1779151500000,history_downloader,{},2250924612.0,236392102.75224,
binance,DOGEUSDT,usdm_futures,1779151800000,1779151800000,history_downloader,{},2251647183.0,236787113.1139066,
binance,DOGEUSDT,usdm_futures,1779152100000,1779152100000,history_downloader,{},2250867917.0,236521200.71836,
binance,DOGEUSDT,usdm_futures,1779152400000,1779152400000,history_downloader,{},2251905111.0,236763997.26557562,
binance,DOGEUSDT,usdm_futures,1779152700000,1779152700000,history_downloader,{},2249755261.0,236021824.43151,
binance,DOGEUSDT,usdm_futures,1779153000000,1779153000000,history_downloader,{},2249304642.0,236083888.69086763,
binance,DOGEUSDT,usdm_futures,1779153300000,1779153300000,history_downloader,{},2249149340.0,236040148.7868694,
binance,DOGEUSDT,usdm_futures,1779153600000,1779153600000,history_downloader,{},2249536745.0,235484408.36900106,
binance,DOGEUSDT,usdm_futures,1779153900000,1779153900000,history_downloader,{},2248181750.0,235000437.4457425,
binance,DOGEUSDT,usdm_futures,1779154200000,1779154200000,history_downloader,{},2244988445.0,234197194.5824,
binance,DOGEUSDT,usdm_futures,1779154500000,1779154500000,history_downloader,{},2248405931.0,234965187.49135232,
binance,DOGEUSDT,usdm_futures,1779154800000,1779154800000,history_downloader,{},2247328437.0,234831820.81033748,
binance,DOGEUSDT,usdm_futures,1779155100000,1779155100000,history_downloader,{},2247833810.0,235255409.3273232,
binance,DOGEUSDT,usdm_futures,1779155400000,1779155400000,history_downloader,{},2250295245.0,234885817.6731,
binance,DOGEUSDT,usdm_futures,1779155700000,1779155700000,history_downloader,{},2249770190.0,234718523.9227,
binance,DOGEUSDT,usdm_futures,1779156000000,1779156000000,history_downloader,{},2250640759.0,234571795.25435755,
binance,DOGEUSDT,usdm_futures,1779156300000,1779156300000,history_downloader,{},2249890219.0,233898587.16724,
binance,DOGEUSDT,usdm_futures,1779156600000,1779156600000,history_downloader,{},2249263410.0,234093866.3138439,
binance,DOGEUSDT,usdm_futures,1779156900000,1779156900000,history_downloader,{},2248053509.0,234444891.94391656,
binance,DOGEUSDT,usdm_futures,1779157200000,1779157200000,history_downloader,{},2248303673.0,234588005.24082,
binance,DOGEUSDT,usdm_futures,1779157500000,1779157500000,history_downloader,{},2246746437.0,235279286.88264,
binance,DOGEUSDT,usdm_futures,1779157800000,1779157800000,history_downloader,{},2248330158.0,234748151.79678,
binance,DOGEUSDT,usdm_futures,1779158100000,1779158100000,history_downloader,{},2248537626.0,234522474.3918,
binance,DOGEUSDT,usdm_futures,1779158400000,1779158400000,history_downloader,{},2251877731.0,234870509.56164035,
binance,DOGEUSDT,usdm_futures,1779158700000,1779158700000,history_downloader,{},2250919477.0,234613337.08771,
binance,DOGEUSDT,usdm_futures,1779159000000,1779159000000,history_downloader,{},2251656220.0,234870260.3082,
binance,DOGEUSDT,usdm_futures,1779159300000,1779159300000,history_downloader,{},2251323393.0,234485709.98179173,
binance,DOGEUSDT,usdm_futures,1779159600000,1779159600000,history_downloader,{},2252188606.0,234462202.98920095,
binance,DOGEUSDT,usdm_futures,1779159900000,1779159900000,history_downloader,{},2254507368.0,234590847.8459772,
binance,DOGEUSDT,usdm_futures,1779160200000,1779160200000,history_downloader,{},2256058733.0,235013638.21661,
binance,DOGEUSDT,usdm_futures,1779160500000,1779160500000,history_downloader,{},2254741886.0,235101936.45322,
binance,DOGEUSDT,usdm_futures,1779160800000,1779160800000,history_downloader,{},2254422552.0,235272664.737996,
binance,DOGEUSDT,usdm_futures,1779161100000,1779161100000,history_downloader,{},2254381255.0,235199596.33415,
binance,DOGEUSDT,usdm_futures,1779161400000,1779161400000,history_downloader,{},2255172603.0,235237054.21893,
binance,DOGEUSDT,usdm_futures,1779161700000,1779161700000,history_downloader,{},2257583069.0,236092799.7632999,
binance,DOGEUSDT,usdm_futures,1779162000000,1779162000000,history_downloader,{},2260944195.0,236325508.5145623,
binance,DOGEUSDT,usdm_futures,1779162300000,1779162300000,history_downloader,{},2260945686.0,236224351.38535637,
binance,DOGEUSDT,usdm_futures,1779162600000,1779162600000,history_downloader,{},2261496584.0,236281163.09632,
binance,DOGEUSDT,usdm_futures,1779162900000,1779162900000,history_downloader,{},2267355984.0,236439882.01152,
binance,DOGEUSDT,usdm_futures,1779163200000,1779163200000,history_downloader,{},2267071246.0,236410189.53288,
binance,DOGEUSDT,usdm_futures,1779163500000,1779163500000,history_downloader,{},2265169839.0,236619641.38194,
binance,DOGEUSDT,usdm_futures,1779163800000,1779163800000,history_downloader,{},2266791512.0,237200509.33877823,
binance,DOGEUSDT,usdm_futures,1779164100000,1779164100000,history_downloader,{},2269382834.0,237695158.03316,
binance,DOGEUSDT,usdm_futures,1779164400000,1779164400000,history_downloader,{},2269323510.0,237552785.0268,
binance,DOGEUSDT,usdm_futures,1779164700000,1779164700000,history_downloader,{},2268927394.0,237352494.68634,
binance,DOGEUSDT,usdm_futures,1779165000000,1779165000000,history_downloader,{},2270367313.0,237503124.61293,
binance,DOGEUSDT,usdm_futures,1779165300000,1779165300000,history_downloader,{},2269181057.0,237877410.6083189,
binance,DOGEUSDT,usdm_futures,1779165600000,1779165600000,history_downloader,{},2267580844.0,237914582.15248,
binance,DOGEUSDT,usdm_futures,1779165900000,1779165900000,history_downloader,{},2267946854.0,237998342.85876,
binance,DOGEUSDT,usdm_futures,1779166200000,1779166200000,history_downloader,{},2268736191.0,238612627.33628175,
binance,DOGEUSDT,usdm_futures,1779166500000,1779166500000,history_downloader,{},2269831202.0,238831639.07444,
binance,DOGEUSDT,usdm_futures,1779166800000,1779166800000,history_downloader,{},2271907106.0,239118222.9065,
binance,DOGEUSDT,usdm_futures,1779167100000,1779167100000,history_downloader,{},2269580343.0,238292908.62383118,
binance,DOGEUSDT,usdm_futures,1779167400000,1779167400000,history_downloader,{},2268236172.0,238028703.88968,
binance,DOGEUSDT,usdm_futures,1779167700000,1779167700000,history_downloader,{},2267222265.0,237536876.70405,
binance,DOGEUSDT,usdm_futures,1779168000000,1779168000000,history_downloader,{},2265400556.0,236488833.98974073,
binance,DOGEUSDT,usdm_futures,1779168300000,1779168300000,history_downloader,{},2264909749.0,235969961.93602735,
binance,DOGEUSDT,usdm_futures,1779168600000,1779168600000,history_downloader,{},2263894812.0,236499673.20722207,
binance,DOGEUSDT,usdm_futures,1779168900000,1779168900000,history_downloader,{},2264728358.0,236664113.411,
binance,DOGEUSDT,usdm_futures,1779169200000,1779169200000,history_downloader,{},2264971056.0,237074520.43152,
binance,DOGEUSDT,usdm_futures,1779169500000,1779169500000,history_downloader,{},2266186120.0,237428319.7924,
binance,DOGEUSDT,usdm_futures,1779169800000,1779169800000,history_downloader,{},2263609265.0,236634905.6876114,
binance,DOGEUSDT,usdm_futures,1779170100000,1779170100000,history_downloader,{},2264664693.0,236612167.12464,
binance,DOGEUSDT,usdm_futures,1779170400000,1779170400000,history_downloader,{},2263677916.0,236515610.69285724,
binance,DOGEUSDT,usdm_futures,1779170700000,1779170700000,history_downloader,{},2264545261.0,236871434.3006,
binance,DOGEUSDT,usdm_futures,1779171000000,1779171000000,history_downloader,{},2264555538.0,236759281.4979,
binance,DOGEUSDT,usdm_futures,1779171300000,1779171300000,history_downloader,{},2265328569.0,236862755.17464,
binance,DOGEUSDT,usdm_futures,1779171600000,1779171600000,history_downloader,{},2263985707.0,236314828.09666,
binance,DOGEUSDT,usdm_futures,1779171900000,1779171900000,history_downloader,{},2266123304.0,236563716.29348648,
binance,DOGEUSDT,usdm_futures,1779172200000,1779172200000,history_downloader,{},2266655855.0,236686811.03333324,
binance,DOGEUSDT,usdm_futures,1779172500000,1779172500000,history_downloader,{},2266978321.0,236967243.89413,
binance,DOGEUSDT,usdm_futures,1779172800000,1779172800000,history_downloader,{},2265029222.0,236683028.08740234,
binance,DOGEUSDT,usdm_futures,1779173100000,1779173100000,history_downloader,{},2263404837.0,236335294.68136972,
binance,DOGEUSDT,usdm_futures,1779173400000,1779173400000,history_downloader,{},2263125083.0,235795002.39777,
binance,DOGEUSDT,usdm_futures,1779173700000,1779173700000,history_downloader,{},2261606494.0,235887999.85921353,
binance,DOGEUSDT,usdm_futures,1779174000000,1779174000000,history_downloader,{},2260375854.0,235998248.05327055,
